SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No
5000-01,PI,5000-01-PMV-05-398,PI_TP,C,ITEM 16 (TI) SHALL BE INSTALLED AFTER,PL-00050
5000-01,PI,5000-01-PMV-06-399,PI_TP,C,ITEM 15 (TI) SHALL BE INSTALLED AFTER TEST,PL-00051
5000-01,PI,5000-01-PMV-07-400,PI_TP,C,ITEM 15 (TI) SHALL BE INSTALLED AFTER TEST,PL-00052
5000-01,PI,5000-01-PMW-01-236,PI_TP,B,ALL ORIGINAL B|N|G SHALL BE INSTALL AFTER TEST,PL-01598
5000-01,PI,5000-01-PMW-01-236,PI_TP,B,ALL TEMPORARY SUPPORTS MUST BE REMOVED AFTER TEST,PL-01599
5000-01,PI,5000-01-PMW-01-236,PI_TP,B,ALL SUPPORTS IN ACCORDANCE WITH ISO AND SUPPORT DWG MUST COMPELETEED. ALSO IF NEEDED SHIMEPLATES SHOULD BE REPLACED IN THE PIPERACK ROUTE+,PL-01600
5000-01,PI,5000-01-PMW-01-236,PI_TP,B,"THE THD CAP 3/4""-CL3000# ITEMS SHOULD BE INSTALLED AFTER TEST",PL-01601
5000-01,PI,5000-01-PMW-01-236,PI_TP,B,THE DIRECTION OF GLOBE VALVE AND VALVE HANDLE SHALL BE INSTALL ACCORDING TO ISO,PL-01602
5000-01,PI,5000-01-PMW-01-236,PI_TP,B,"ALL SPECTABLE FLANGE 3/4""-CL-300# SHALL BE INSTALL AFTER TEST",PL-01603
5000-01,PI,5000-01-PMW-01-236,PI_TP,B,THE TEMPORARY WELD ADDED FOR TEST AFTER PERFORMING RELATED OPERATIONS SHOULD BE CUTTING. ALSO J:29TN FIT-UP AND WELDED AND RT,PL-01604
5000-01,PI,5000-01-PMW-01-236,PI_TP,C,ALL INSTRUMENT DEVICES (FV:5020 | FT:5020| TI:5020) MUST BE INSTALLED BEFORE THE PRECOMM,PL-01605
5000-01,PI,5000-01-PMW-01-236,PI_TP,C,"THE INSULATION KIT 4""-150# ITEM SHOULD BE INSTALL BEFORE PRECOMM",PL-01606
5000-01,PI,5000-01-PMW-01-236,PI_TP,C,SUPPORT S3 DIDN’T INSTALL,PL-01802
5000-01,PI,5000-01-PMW-01-236,PI_TP,C,ALL VALVES SHALL BE LUBRICATE,PL-01803
5000-01,PI,5000-01-PMW-02-628,PI_TP,B,ALL ORIGINAL B|N|G SHALL BE INSTALL AFTER TEST,PL-01491
5000-01,PI,5000-01-PMW-02-628,PI_TP,B,"ALL SPECTABLE FLANGES 3/4""-CL600# ITEMS SHALL BE INSTALLED AFTER TEST",PL-01492
